user_id,age,gender,attention,block_number,trial_number,trial_type,conditions,p_inspection,inspection,fine_size,profitable_side,points_right,points_left,exchange_ratio,basic_payment,true_side,choice,trial_payoff,alternative_payoff,choice_correct,rt_choice,block_errors,block_payoff,final_payoff,date,time
5aaa7bde56c51000018cc7b5,27,female,1,1,1,Ambigous_left,no_enforcement2,0,0,-,left,11,14,500,1.45,left,left,2,1,1,0.405,6,139,278,18-05-2020,17:50:4
5aaa7bde56c51000018cc7b5,27,female,1,1,2,Clear_not_profit_side,no_enforcement2,0,0,-,left,16,9,500,1.45,right,right,1,2,1,0.235,6,139,278,18-05-2020,17:50:4
5aaa7bde56c51000018cc7b5,27,female,1,1,3,Ambigous_right,no_enforcement2,0,0,-,left,14,11,500,1.45,right,left,2,1,0,0.468,6,139,278,18-05-2020,17:50:4
5aaa7bde56c51000018cc7b5,27,female,1,1,4,Ambigous_left,no_enforcement2,0,0,-,left,11,14,500,1.45,left,left,2,1,1,0.239,6,139,278,18-05-2020,17:50:4
5aaa7bde56c51000018cc7b5,27,female,1,1,5,Clear_not_profit_side,no_enforcement2,0,0,-,left,16,9,500,1.45,right,right,1,2,1,0.192,6,139,278,18-05-2020,17:50:4
5aaa7bde56c51000018cc7b5,27,female,1,1,6,Clear_profit_side,no_enforcement2,0,0,-,left,9,16,500,1.45,left,left,2,1,1,0.282,6,139,278,18-05-2020,17:50:4
5aaa7bde56c51000018cc7b5,27,female,1,1,7,Ambigous_left,no_enforcement2,0,0,-,left,11,14,500,1.45,left,right,1,2,0,0.149,6,139,278,18-05-2020,17:50:4
5aaa7bde56c51000018cc7b5,27,female,1,1,8,Ambigous_right,no_enforcement2,0,0,-,left,14,11,500,1.45,right,right,1,2,1,0.171,6,139,278,18-05-2020,17:50:4
5aaa7bde56c51000018cc7b5,27,female,1,1,9,Ambigous_right,no_enforcement2,0,0,-,left,14,11,500,1.45,right,right,1,2,1,0.167,6,139,278,18-05-2020,17:50:4
5aaa7bde56c51000018cc7b5,27,female,1,1,10,Clear_profit_side,no_enforcement2,0,0,-,left,9,16,500,1.45,left,left,2,1,1,0.178,6,139,278,18-05-2020,17:50:4
